,train_loss,test_loss
0,0.9846522250732819,0.835964363354903
1,0.7381499494825091,0.936655040543813
2,0.7592673069470889,0.8459454379402674
3,0.7382059267589024,0.8276916283827561
4,0.7325050761173297,0.813017664047388
5,0.7279659323878103,0.8026009947061539
6,0.7244982696198797,0.7946491058056171
7,0.7216426288926756,0.7884031327871176
8,0.7195067142511343,0.7834547918576461
9,0.71710771399659,0.7793071476312784
10,0.715074855011779,0.7765032110305933
11,0.7132587378675287,0.7738907554974923
12,0.7114226051739284,0.77187280356884
13,0.7093743976060446,0.7737031624867365
14,0.7084649220689551,0.7696555050519797
15,0.7053244230035064,0.7711182431532786
16,0.7034333247643012,0.776388725409141
17,0.7012252405092314,0.7761700096038672
18,0.6973963465009417,0.7773217060245
19,0.6911795603764521,0.7882695066241118
20,0.6851350796687139,0.7939202424425346
21,0.6643044414458337,0.8776849714609293
22,0.641568097975347,0.853297790655723
23,0.5896035839210857,0.8302981521074588
24,0.5450511694728554,0.8282750091300561
25,0.5141921662665033,0.8169796206057072
26,0.4920275585798474,0.8207007758319378
27,0.47775265226116426,0.805552038579033
28,0.4639821541677048,0.7774011941196827
29,0.45219952932425905,0.755499907124501
30,0.4422453460465004,0.7324826784718496
31,0.43283356053682115,0.7128879496684442
32,0.42450989836028646,0.6954922443972185
33,0.4176654026831512,0.6816182572108048
34,0.411266238271416,0.6665024010177988
35,0.4055769818943816,0.653524121341224
36,0.4000776056200266,0.6410376456064674
37,0.3942101781389543,0.6269057921062295
38,0.3891464757261338,0.6167219035470715
39,0.3854181816099913,0.6083681343409878
40,0.3821953023457295,0.6031625451376805
41,0.3794403498290808,0.5952179828085579
42,0.3769106509817111,0.5894310728002053
43,0.3747435115132626,0.5837722760983385
44,0.37265616977079347,0.5797291283424084
45,0.37075729893109244,0.5767206792504742
46,0.368927640453368,0.5736049141806479
47,0.36732572450169493,0.5712781086062583
48,0.36609045050844746,0.5689896878858025
49,0.365041582179921,0.5670093579146152
50,0.36357248429354133,0.5653747830611582
51,0.36217486156852213,0.5635697754601446
52,0.3607884521850131,0.5621840535448148
53,0.3593675033854587,0.561135154002561
54,0.35811923241073434,0.5600967118158363
55,0.356981701495779,0.5589974963536056
56,0.3559878565032374,0.5580539324392493
57,0.35453849433401186,0.5574594460284481
58,0.3532328121847921,0.5570972939738288
59,0.35212285373988866,0.5568089907487425
60,0.3508057697349555,0.5566126875077876
61,0.3497415111678374,0.5564667392307177
62,0.34852140638735385,0.556329567092829
63,0.34738050519742747,0.5560045999188262
64,0.3461188699856594,0.5559856529132678
65,0.3450517224801051,0.5557110878065802
66,0.34390521255116185,0.5555360708743907
67,0.34278794440936733,0.555488946238676
68,0.3417079083911784,0.5552740441635251
69,0.34053221207063694,0.5566144942735823
70,0.33980772898278455,0.5554486186458514
71,0.3382720030940972,0.5556257596024528
72,0.3372482977952663,0.5558593215850683
73,0.3360683348320134,0.5562823689542711
74,0.33494425976237696,0.5564851009000379
75,0.3338520988676842,0.5567979004520637
76,0.33276565776920164,0.5572726672085432
77,0.33172658492218365,0.5577973762097267
78,0.3306192291005478,0.5580934987475092
79,0.3295417495507312,0.5588528009203191
80,0.3285397206759685,0.5588477977838081
81,0.3274252459213331,0.5592955330100197
82,0.32641215738538026,0.5597369917310201
83,0.325503440138388,0.5597845613956451
84,0.32443832535925626,0.5604800293938472
85,0.32349696329661776,0.560607684453806
86,0.3224051356944558,0.5611427772002151
87,0.3214968093368527,0.5613207770869709
88,0.32043477549374877,0.5615082484526703
89,0.3194278191000997,0.5616339860985485
90,0.3183520973551196,0.5622630542359099
91,0.31729410395219726,0.5625908345772097
92,0.31614464134364934,0.5631089574084259
93,0.3148400528090341,0.5637159198880769
94,0.3136338589156603,0.5648662887800199
95,0.3123751946954758,0.5654490535290768
96,0.3111470857417429,0.5658722033079427
97,0.3098771566549292,0.566473187556347
98,0.30853041684763,0.5672301093044763
99,0.3072615357285196,0.5675582406111062
