,epoch,loss,accuracy
0,1,0.041625427352146714,98.4000015258789
1,2,0.05287006855324504,97.53333282470703
2,3,0.00802518781884552,100.0
3,4,0.023720443285550275,99.19999694824219
4,5,0.010946635281838013,100.0
5,6,0.043061719728937874,98.4000015258789
6,7,0.03497327150034379,99.19999694824219
7,8,0.01796888786038237,99.19999694824219
8,9,0.0035115217317944316,100.0
9,10,0.0005086073341618776,100.0
10,11,0.0003864240881660782,100.0
11,12,0.00010680418064232811,100.0
12,13,0.00012718689487728103,100.0
13,14,7.48105143134244e-05,100.0
14,15,0.00015257962623600464,100.0
15,16,0.00010275682976465342,100.0
16,17,2.6411007095461515e-05,100.0
17,18,4.777658484099352e-05,100.0
18,19,8.80636983647302e-05,100.0
19,20,8.646898415953785e-06,100.0
20,21,5.4484359779631104e-05,100.0
21,22,7.758159473952494e-05,100.0
22,23,2.155666420643835e-05,100.0
23,24,2.59271643936169e-05,100.0
24,25,7.903963107261566e-05,100.0
25,26,4.556151370476158e-05,100.0
26,27,1.3104021259439472e-05,100.0
27,28,2.0673997213786302e-05,100.0
28,29,7.5676866404232135e-06,100.0
29,30,2.0495683116550366e-05,100.0
30,31,2.0452801304671196e-05,100.0
31,32,1.7934234316996366e-05,100.0
32,33,1.7690431310827628e-05,100.0
33,34,1.2692323993353701e-05,100.0
34,35,2.146347877172161e-05,100.0
35,36,1.5216625881819822e-05,100.0
36,37,2.3602291252089456e-06,100.0
37,38,1.4632528767914248e-06,100.0
38,39,1.1162002129161408e-05,100.0
39,40,3.5978866993839156e-06,100.0
40,41,9.544469821480088e-06,100.0
41,42,1.3124835327893436e-05,100.0
42,43,4.976641075297531e-06,100.0
43,44,5.491070588862593e-06,100.0
44,45,2.060237157586187e-06,100.0
45,46,2.4516162951589613e-06,100.0
46,47,3.55822044119473e-06,100.0
47,48,4.001168460791386e-06,100.0
48,49,1.5586203646833497e-06,100.0
49,50,1.950996717840307e-06,100.0
