Stocks,OUR,OURr,AnT,PoS,ApT,L,MpT,MlT,MaxC,MinC,IdleR
dia,110302.21,7.47,1.52,100.00,5151.11,233.00,6618.15,3684.06,110302.21,106618.15,0.03
ewa,109795.44,7.12,2.29,66.67,3265.15,121.00,12945.80,0.00,109795.44,95708.29,0.24
ewc,102706.80,2.04,0.76,100.00,2706.80,479.00,2706.80,2706.80,102706.80,102706.80,0.00
ewg,110703.79,7.75,4.57,66.67,1783.96,59.50,6864.03,0.00,110703.79,103293.60,0.25
ewh,110217.94,7.41,4.57,66.67,1702.99,62.33,7183.35,0.00,116071.04,107183.35,0.22
ewj,88720.48,-9.12,2.29,33.33,-3759.84,42.00,987.84,0.00,91995.36,87732.64,0.74
eww,80122.36,-16.88,0.76,0.00,-19877.64,477.00,-19877.64,0.00,80122.36,80122.36,0.00
spy,106221.79,4.60,1.52,100.00,3110.90,208.00,3515.49,2706.30,106221.79,103515.49,0.13
xlb,140163.91,25.74,4.57,83.33,6693.99,41.50,19297.85,0.00,140163.91,92236.78,0.48
xle,108317.52,6.09,3.81,80.00,1663.50,57.80,6830.31,0.00,108317.52,92719.59,0.40
xlf,96123.62,-3.01,6.10,62.50,-484.55,30.62,7886.06,0.00,121928.30,96123.62,0.49
xli,116483.32,11.63,0.76,100.00,16483.32,479.00,16483.32,16483.32,116483.32,116483.32,0.00
xlk,109748.88,7.09,2.29,66.67,3249.63,137.33,9864.80,0.00,110258.18,109748.88,0.14
xlp,109747.10,7.09,3.05,50.00,2436.77,74.50,11290.86,0.00,116956.38,105665.52,0.38
xlu,104544.91,3.39,2.29,66.67,1514.97,97.67,8806.38,0.00,113391.34,104544.91,0.39
xlv,93722.40,-4.94,0.76,0.00,-6277.60,462.00,-6277.60,0.00,93722.40,93722.40,0.04
xly,109705.62,7.06,2.29,100.00,3235.21,129.00,7230.36,25.54,109705.62,100025.54,0.19
